基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
华宝医药生物混合,240020,6.30亿元（2019-12-31）,7.05%,22.74%,28.70%,62.76%,85.21%,246.67%,光磊,3年又182天,80.64%,4年又334天
富国生物医药科技混合,006218,7.96亿元（2019-12-31）,10.79%,24.87%,32.65%,--,--,47.55%,于洋,361天,47.55%,2年又134天
九泰天宝灵活配置混合C,002028,1.38亿元（2019-12-31）,2.59%,9.15%,10.58%,15.61%,37.85%,43.80%,刘勇,1年又85天,17.63%,1年又128天
富安达健康人生混合,001861,0.59亿元（2019-12-31）,6.06%,20.72%,26.89%,47.14%,61.45%,61.47%,纪青/李守峰,3年又82天,62.67%,3年又82天/4年又74天
前海开源景鑫混合C,005302,0.53亿元（2019-12-31）,12.20%,10.34%,1.55%,17.81%,--,76.09%,魏淳/谭荐丰,269天,22.15%,1年又58天/1年又73天
中银创新医疗混合,007718,14.43亿元（2019-11-13）,6.34%,17.70%,--,--,--,17.18%,刘潇,115天,17.18%,1年又268天
国泰价值优选灵活配置混合,501064,3.82亿元（2019-12-31）,6.66%,19.61%,26.63%,47.14%,--,61.57%,周伟锋,1年又57天,61.57%,6年又269天
华夏医疗健康混合A,000945,20.96亿元（2019-12-31）,6.83%,28.13%,31.58%,52.99%,46.32%,105.00%,陈斌,5年又35天,105.00%,5年又35天
大成健康产业混合,090020,0.24亿元（2019-12-31）,5.41%,25.27%,25.54%,37.97%,27.87%,17.00%,杨挺,5年又255天,19.27%,5年又256天
前海联合国民健康混合A,003581,0.59亿元（2019-12-31）,8.87%,25.81%,30.75%,45.88%,35.96%,39.90%,林材,3年又69天,39.90%,6年又65天
上投创新商业模式混合,005593,3.25亿元（2019-12-31）,6.33%,30.08%,40.69%,55.47%,--,49.16%,郭晨,344天,51.32%,8年又321天
九泰天宝灵活配置混合A,000892,0.02亿元（2019-12-31）,2.56%,9.23%,10.92%,16.72%,37.78%,51.28%,刘勇,1年又85天,18.76%,1年又128天
博时新兴成长混合,050009,35.25亿元（2019-12-31）,13.27%,24.15%,23.46%,36.92%,33.59%,4.86%,曾鹏,5年又46天,27.58%,7年又50天
圆信永丰兴源灵活配置混合C,001966,0.16亿元（2019-12-31）,4.35%,15.17%,13.51%,37.14%,--,34.40%,肖世源,23天,6.67%,2年又260天
华宝大健康混合,006881,1.75亿元（2019-12-31）,10.14%,27.24%,32.30%,--,--,47.78%,光磊,344天,47.78%,4年又334天
前海开源多元策略混合C,004497,3.84亿元（2019-12-31）,12.76%,15.22%,5.91%,14.34%,--,48.12%,黄玥,124天,15.25%,3年又15天
前海开源沪港深汇鑫混合C,001943,0.46亿元（2019-12-31）,10.91%,12.11%,5.46%,3.57%,37.28%,56.50%,史程/谢屹,2年又85天,38.37%,3年又314天/4年又243天
前海开源多元策略混合A,004496,2.04亿元（2019-12-31）,12.76%,15.25%,5.96%,14.45%,--,50.29%,黄玥,124天,15.29%,3年又15天
前海开源景鑫混合A,005301,0.37亿元（2019-12-31）,12.21%,10.37%,1.60%,17.93%,--,76.40%,魏淳/谭荐丰,269天,22.24%,1年又58天/1年又73天
圆信永丰双利优选,005108,3.05亿元（2019-12-31）,1.56%,3.06%,3.60%,8.32%,--,1.58%,肖世源/范妍,1年又35天,9.01%,2年又260天/4年又132天
前海开源沪港深汇鑫混合A,001942,0.05亿元（2019-12-31）,10.99%,12.24%,5.59%,3.80%,38.15%,58.60%,史程/谢屹,2年又85天,38.64%,3年又314天/4年又243天
银河文体娱乐混合,005585,0.21亿元（2019-12-31）,-2.06%,10.08%,11.35%,28.24%,--,51.32%,卢轶乔,1年又323天,51.32%,7年又78天
汇添富医疗服务混合,001417,64.86亿元（2019-12-31）,6.54%,22.29%,30.07%,51.70%,86.00%,51.40%,刘江,4年又264天,51.40%,4年又264天
长信医疗保健混合(LOF),163001,0.96亿元（2019-12-31）,7.54%,24.19%,30.62%,63.62%,43.50%,123.90%,宋海岸/左金保,68天,26.64%,2年又24天/4年又361天
前海开源医疗健康A,005453,0.51亿元（2019-12-31）,6.11%,21.13%,24.18%,59.00%,--,55.12%,范洁/曲扬,2年又27天,65.64%,2年又184天/6年又114天
前海开源医疗健康C,005454,0.37亿元（2019-12-31）,6.11%,21.11%,24.14%,58.88%,--,54.82%,范洁/曲扬,2年又27天,65.34%,2年又184天/6年又114天
九泰久益混合C,001844,0.22亿元（2019-12-31）,3.14%,2.40%,3.98%,8.19%,44.75%,44.90%,何昕,1年又198天,26.46%,1年又199天
九泰久益混合A,001782,0.02亿元（2019-12-31）,3.17%,2.46%,4.13%,8.71%,50.80%,50.95%,何昕,1年又198天,30.12%,1年又199天
中信建投医改混合C,007553,0.56亿元（2019-12-31）,9.67%,27.00%,40.39%,--,--,39.83%,谢玮,263天,39.83%,1年又276天
博时医疗保健行业混合A,050026,34.36亿元（2019-12-31）,10.17%,21.34%,24.02%,80.46%,88.36%,208.05%,葛晨,1年又333天,64.49%,1年又333天
中信建投医改混合A,002408,0.99亿元（2019-12-31）,9.71%,27.20%,40.66%,71.33%,63.47%,67.39%,谢玮,330天,67.22%,1年又276天
国投瑞银创新医疗混合,005520,1.93亿元（2019-12-31）,6.83%,25.56%,24.83%,43.85%,--,35.13%,张佳荣/汤海波,1年又345天,35.13%,4年又98天/7年又364天
长信国防军工量化混合C,008960,--亿元（--）,--,--,--,--,--,0.35%,宋海岸,15天,0.35%,2年又24天
前海开源嘉鑫混合C,001770,0.79亿元（2019-12-31）,4.16%,5.21%,5.88%,7.83%,18.65%,19.48%,李炳智/赵雪芹,3年又42天,19.12%,3年又42天/4年又42天
长盛同盛成长优选(LOF),160813,1.59亿元（2019-12-31）,13.04%,19.77%,15.24%,22.89%,16.52%,-5.50%,代毅,264天,35.00%,1年又276天
长信国防军工量化混合A,002983,3.72亿元（2019-12-31）,16.88%,25.41%,13.18%,25.76%,-5.21%,-4.16%,宋海岸,1年又98天,47.36%,2年又24天
长盛生态环境混合,000598,2.07亿元（2019-12-31）,18.21%,26.63%,19.08%,22.95%,46.84%,111.60%,代毅,172天,21.96%,1年又276天
前海开源嘉鑫混合A,001765,2.45亿元（2019-12-31）,4.13%,5.27%,6.04%,7.88%,19.23%,20.18%,李炳智/赵雪芹,3年又42天,19.82%,3年又42天/4年又42天
汇丰晋信2026周期混合,540004,1.58亿元（2019-12-31）,9.86%,11.71%,13.93%,25.53%,67.26%,253.35%,刘淑生,1年又279天,53.02%,1年又279天
易方达医疗保健行业混合,110023,31.16亿元（2019-12-31）,9.60%,21.46%,27.60%,57.77%,100.83%,164.90%,杨桢霄,3年又19天,105.83%,3年又200天
华泰柏瑞医疗健康混合,005805,4.33亿元（2019-12-31）,8.90%,20.92%,29.98%,67.15%,--,75.54%,张弘/徐晓杰,123天,15.78%,123天/4年又298天
中欧医疗健康混合C,003096,30.16亿元（2019-12-31）,9.82%,21.09%,36.50%,76.71%,130.59%,123.90%,葛兰,3年又160天,123.90%,4年又244天
华泰柏瑞生物医药混合,004905,9.24亿元（2019-12-31）,7.27%,20.96%,28.81%,63.68%,--,86.60%,徐晓杰,2年又204天,86.60%,4年又298天
九泰锐智定增混合,168101,4.42亿元（2019-12-31）,10.32%,31.29%,36.60%,40.93%,31.13%,87.16%,刘开运,4年又207天,87.16%,4年又236天
中欧医疗健康混合A,003095,20.28亿元（2019-12-31）,9.92%,21.25%,36.59%,76.74%,130.52%,124.30%,葛兰,3年又160天,124.30%,4年又244天
上投安丰回报C,004145,1.05亿元（2019-12-31）,2.18%,1.94%,3.35%,4.43%,20.40%,21.11%,唐瑭,169天,3.63%,4年又294天
上投安丰回报A,004144,0.68亿元（2019-12-31）,2.20%,2.02%,3.51%,4.82%,26.93%,27.72%,唐瑭,169天,3.77%,4年又294天
长江汇聚量化多因子,005757,0.32亿元（2019-12-31）,5.39%,11.89%,12.03%,11.53%,--,15.32%,曹紫建,1年又316天,15.32%,1年又316天
金元顺安元启灵活配置混合,004685,1.38亿元（2019-12-31）,14.32%,11.98%,13.71%,19.78%,--,30.86%,缪玮彬,2年又114天,30.86%,3年又82天
平安医疗健康混合,003032,0.57亿元（2019-12-31）,5.74%,24.57%,31.28%,53.69%,--,42.81%,神爱前/乔海英,150天,30.66%,3年又232天/5年又178天
工银聚福混合A,005943,0.54亿元（2019-12-31）,2.08%,3.38%,3.70%,5.40%,--,6.17%,李昱/李敏,19天,0.46%,2年又44天/6年又150天
华泰柏瑞激励动力混合C,002082,0.00亿元（2019-12-31）,8.24%,22.24%,32.03%,52.29%,87.77%,127.80%,徐晓杰,4年又110天,127.80%,4年又298天
中银证券新能源混合A,005571,0.23亿元（2019-12-31）,0.08%,24.33%,21.73%,10.50%,--,32.20%,张燕,1年又164天,31.28%,3年又225天
中银证券新能源混合C,005572,0.10亿元（2019-12-31）,0.05%,24.22%,21.52%,10.12%,--,31.50%,张燕,1年又164天,30.64%,3年又225天
农银汇理创新医疗混合,008293,41.10亿元（2020-01-21）,3.97%,--,--,--,--,3.97%,赵伟,46天,3.97%,2年又261天
鹏华创新驱动混合,005967,5.30亿元（2019-12-31）,12.18%,25.18%,33.08%,38.06%,--,36.42%,聂毅翔/梁浩,1年又275天,36.42%,2年又217天/8年又239天
申万菱信新动力混合,310328,9.27亿元（2019-12-31）,6.56%,11.05%,13.85%,28.83%,29.20%,397.46%,季新星,340天,23.85%,3年又54天
中信建投聚利混合A,001914,0.31亿元（2019-12-31）,6.05%,8.06%,9.45%,13.18%,2.35%,5.32%,谢玮,1年又163天,13.48%,1年又276天
工银聚福混合C,005944,0.27亿元（2019-12-31）,1.99%,3.22%,3.43%,4.87%,--,5.47%,李昱/李敏,19天,0.39%,2年又44天/6年又150天
中信建投聚利混合C,006845,0.01亿元（2019-12-31）,6.00%,7.95%,9.22%,--,--,12.81%,谢玮,1年又63天,12.81%,1年又276天
华泰柏瑞激励动力混合A,001815,0.48亿元（2019-12-31）,8.27%,22.43%,32.35%,53.42%,90.36%,107.11%,徐晓杰,4年又132天,107.11%,4年又298天
诺安优选回报混合,001743,5.47亿元（2019-12-31）,2.12%,4.03%,2.97%,8.39%,31.41%,31.81%,李玉良,3年又167天,31.81%,5年又2天
广发内需增长混合,270022,10.55亿元（2019-12-31）,8.65%,16.72%,20.96%,38.10%,26.79%,23.77%,王明旭,292天,32.90%,1年又142天
国泰金泰灵活配置混合C,519022,1.04亿元（2019-12-31）,2.37%,11.20%,13.19%,32.12%,25.03%,25.58%,李海,1年又315天,36.12%,3年又273天
中加心悦混合A,005371,1.17亿元（2019-12-31）,1.17%,2.11%,2.63%,4.00%,--,8.16%,李瑾懿,121天,2.26%,121天
华富天鑫灵活配置混合A,003152,0.93亿元（2019-12-31）,8.91%,29.65%,32.63%,46.45%,18.85%,18.93%,陈启明,9天,0.40%,5年又164天
华富天鑫灵活配置混合C,003153,0.28亿元（2019-12-31）,8.84%,29.40%,32.23%,45.44%,16.07%,15.97%,陈启明,9天,0.38%,5年又164天
华安安康灵活配置混合C,002364,0.52亿元（2019-12-31）,2.50%,6.55%,9.19%,18.15%,35.09%,36.04%,陆奔/石雨欣,1年又116天,30.01%,1年又164天/4年又235天
华安安康灵活配置混合A,002363,1.53亿元（2019-12-31）,2.55%,6.67%,9.47%,18.81%,37.47%,39.26%,陆奔/石雨欣,1年又116天,30.97%,1年又164天/4年又235天
中银证券健康产业混合,002938,0.87亿元（2019-12-31）,3.20%,15.39%,11.11%,16.97%,11.96%,13.67%,吴文钊,138天,15.09%,1年又102天
国富新趋势混合C,005553,0.90亿元（2019-12-31）,0.73%,1.71%,2.11%,3.15%,--,7.11%,沈竹熙/杜飞,149天,1.96%,1年又286天/4年又235天
国富新趋势混合A,005552,0.01亿元（2019-12-31）,0.75%,1.76%,2.22%,3.43%,--,7.41%,沈竹熙/杜飞,149天,2.04%,1年又286天/4年又235天
前海开源沪港深新硬件A,004314,0.27亿元（2019-12-31）,6.20%,27.39%,35.73%,37.05%,--,57.54%,刘小明/魏淳,93天,29.69%,93天/1年又58天
前海开源沪港深新硬件C,004315,0.27亿元（2019-12-31）,6.20%,27.36%,35.67%,36.92%,--,88.84%,刘小明/魏淳,93天,29.66%,93天/1年又58天
大摩健康产业混合,002708,2.41亿元（2019-12-31）,6.50%,24.22%,32.32%,57.18%,86.33%,94.90%,王大鹏,3年又251天,94.90%,5年又46天
中邮医药健康混合,003284,0.48亿元（2019-12-31）,6.42%,21.87%,23.88%,30.00%,50.07%,52.15%,王曼,3年又85天,52.15%,4年又41天
国泰金泰灵活配置混合A,519020,2.12亿元（2019-12-31）,2.38%,11.23%,13.25%,32.09%,23.71%,49.68%,李海,1年又315天,35.48%,3年又273天
新华鑫利灵活配置混合,519165,0.20亿元（2019-12-31）,3.62%,10.04%,10.45%,17.11%,13.91%,45.80%,王滨/王浩,10天,0.14%,4年又51天/348天
天弘医疗健康混合A,001558,0.55亿元（2019-12-31）,7.26%,22.95%,26.37%,55.43%,63.68%,28.88%,郭相博/刘盟盟,2年又48天,55.39%,2年又49天/2年又49天
天弘医疗健康混合C,001559,1.25亿元（2019-12-31）,7.22%,22.83%,26.12%,54.80%,61.95%,26.94%,郭相博/刘盟盟,2年又48天,54.09%,2年又49天/2年又49天
中加心悦混合C,005372,0.00亿元（2019-12-31）,1.16%,2.10%,2.62%,3.98%,--,8.09%,李瑾懿,121天,2.25%,121天
国寿安保健康科学混合A,005043,0.17亿元（2019-12-31）,5.14%,18.97%,23.35%,31.27%,--,25.68%,刘志军/张琦,1年又326天,23.03%,1年又326天/9年又128天
博时裕隆灵活配置混合,000652,19.51亿元（2019-12-31）,9.19%,19.74%,25.56%,36.20%,53.54%,211.47%,陈鹏扬,4年又197天,114.09%,4年又197天
华富价值增长混合,410007,0.73亿元（2019-12-31）,10.61%,34.97%,32.55%,53.04%,70.93%,216.08%,陈启明,5年又151天,178.29%,5年又164天
国寿安保健康科学混合C,005044,0.35亿元（2019-12-31）,5.11%,18.88%,23.16%,30.87%,--,24.54%,刘志军/张琦,1年又326天,22.22%,1年又326天/9年又128天
万家瑞和灵活配置混合A,002664,0.00亿元（2019-12-31）,1.06%,2.74%,3.74%,6.33%,23.84%,27.80%,郅元/侯慧娣,78天,2.34%,1年又227天/5年又210天
华夏逸享健康混合,007481,15.93亿元（2019-11-06）,3.55%,22.04%,--,--,--,21.81%,陈斌,122天,21.81%,5年又35天
华安新优选灵活配置混合A,001312,3.62亿元（2019-12-31）,1.18%,2.61%,3.40%,4.32%,-8.63%,-5.80%,陆奔/周益鸣,44天,1.51%,1年又164天/1年又273天
万家瑞和灵活配置混合C,002665,8.06亿元（2019-12-31）,1.04%,2.53%,3.05%,5.53%,18.28%,21.84%,郅元/侯慧娣,78天,2.32%,1年又227天/5年又210天
天弘裕利灵活配置混合C,005997,1.14亿元（2019-12-31）,0.20%,1.03%,1.46%,2.54%,--,5.86%,赵鼎龙/钱文成,85天,0.98%,113天/7年又52天
中海医药健康产业精选混合C,000879,2.69亿元（2019-12-31）,7.99%,15.01%,21.12%,44.32%,109.13%,128.16%,易小金,276天,46.35%,1年又302天
天弘裕利灵活配置混合A,002388,0.30亿元（2019-12-31）,0.21%,1.06%,1.51%,2.64%,15.58%,17.93%,赵鼎龙/钱文成,85天,1.01%,113天/7年又52天
汇添富医药保健混合A,470006,34.49亿元（2019-12-31）,8.53%,20.17%,30.08%,64.51%,54.45%,156.30%,郑磊,316天,55.73%,4年又174天
中海医药健康产业精选混合A,000878,9.11亿元（2019-12-31）,8.11%,15.30%,21.68%,45.41%,111.55%,136.30%,易小金,276天,47.41%,1年又302天
万家瑞盈灵活配置混合C,003735,10.14亿元（2019-12-31）,0.96%,2.31%,2.68%,5.47%,16.80%,17.79%,侯慧娣,180天,2.67%,5年又210天
万家瑞盈灵活配置混合A,003734,0.49亿元（2019-12-31）,0.95%,2.31%,2.67%,5.79%,16.85%,17.93%,侯慧娣,180天,2.67%,5年又210天
兴业聚丰灵活配置混合,002668,5.29亿元（2019-12-31）,0.98%,2.23%,3.08%,6.35%,14.60%,24.00%,唐丁祥,1年又10天,5.89%,1年又17天
前海开源沪港深大消费混合A,002662,0.10亿元（2019-12-31）,3.07%,10.58%,12.73%,16.33%,26.74%,27.50%,赵雪芹,23天,1.51%,4年又42天
嘉合锦创优势精选混合,006992,0.95亿元（2019-12-31）,6.54%,9.33%,9.74%,--,--,16.35%,管仁贤/骆海涛,325天,16.37%,325天/2年又86天
中海添瑞定开混合,005252,0.14亿元（2019-12-31）,0.19%,0.66%,0.73%,-0.30%,--,7.55%,刘俊,315天,1.35%,10年又7天
诺安改革趋势灵活配置混合,001780,0.39亿元（2019-12-31）,10.99%,31.93%,34.03%,47.10%,--,34.30%,杨琨,1年又260天,52.61%,3年又222天
南方荣尊定开混合C,003939,0.23亿元（2019-12-31）,0.15%,3.03%,4.37%,7.91%,--,12.83%,何康,1年又224天,11.35%,5年又112天
长信易进混合A,003126,0.00亿元（2019-12-31）,0.64%,1.45%,1.74%,2.95%,11.28%,11.60%,杜国昊/陆莹,5天,0.15%,99天/3年又69天
长信易进混合C,003127,0.48亿元（2019-12-31）,0.64%,1.48%,1.71%,2.76%,10.38%,10.63%,杜国昊/陆莹,5天,0.14%,99天/3年又69天
南方荣尊定开混合A,003938,0.31亿元（2019-12-31）,0.20%,3.18%,4.68%,8.55%,--,14.73%,何康,1年又224天,12.43%,5年又112天
大成景益平稳收益混合A,000695,0.02亿元（2019-12-31）,-0.07%,-0.35%,-1.98%,-1.38%,1.78%,43.20%,黄万青/李富强,260天,-1.31%,7年又286天/3年又160天
华富成长趋势混合,410003,5.72亿元（2019-12-31）,10.05%,37.66%,34.09%,55.01%,58.85%,94.53%,陈启明,234天,62.62%,5年又164天
申万菱信消费增长混合,310388,2.31亿元（2019-12-31）,6.70%,18.01%,20.56%,41.61%,83.84%,156.31%,季新星,2年又341天,74.02%,3年又54天
汇丰晋信2016周期混合,540001,2.40亿元（2019-12-31）,1.24%,3.16%,3.48%,6.06%,15.63%,215.04%,蔡若林,3年又200天,12.37%,4年又38天
汇安丰华混合C,003855,4.03亿元（2019-12-31）,6.99%,7.30%,7.76%,9.02%,21.10%,21.33%,杨芳,302天,8.71%,2年又328天
汇安丰华混合A,003854,3.10亿元（2019-12-31）,7.00%,7.33%,7.86%,9.17%,79.41%,81.28%,杨芳,302天,8.86%,2年又328天
华泰保兴健康消费A,006882,0.09亿元（2019-12-31）,5.52%,12.15%,12.55%,--,--,19.06%,赵旭照/孙静佳,278天,19.05%,2年又52天/285天
国联安通盈混合C,002485,3.17亿元（2019-12-31）,0.28%,0.86%,1.50%,5.17%,12.17%,17.38%,王欢/薛琳,2年又69天,3.92%,2年又69天/7年又241天
国联安通盈混合A,000664,0.04亿元（2019-12-31）,0.29%,0.94%,1.46%,6.32%,15.00%,45.19%,王欢/薛琳,2年又69天,5.71%,2年又69天/7年又241天
鹏华弘康灵活配置混合C,003412,1.08亿元（2019-12-31）,0.45%,1.20%,1.97%,3.43%,23.27%,23.18%,叶朝明/张栓伟,1年又71天,4.06%,6年又9天/3年又196天
兴银先锋成长混合C,008038,4.08亿元（2019-11-18）,4.92%,7.16%,--,--,--,7.12%,孔晓语,110天,7.12%,1年又290天
兴银先锋成长混合A,008037,3.52亿元（2019-11-18）,5.08%,7.57%,--,--,--,7.57%,孔晓语,110天,7.57%,1年又290天
招商丰茂灵活混合发起式A,005906,0.49亿元（2019-12-31）,0.68%,1.21%,1.52%,3.93%,--,10.71%,余芽芳/王景,352天,3.68%,2年又329天/8年又117天
建信民丰回报混合,004413,1.03亿元（2019-12-31）,4.28%,6.42%,6.44%,8.38%,--,15.14%,叶乐天,2年又324天,15.14%,7年又353天
汇安丰恒灵活配置混合A,003845,1.02亿元（2019-12-31）,0.69%,1.79%,2.45%,0.89%,--,-9.35%,商震/张再奇,198天,2.51%,201天/1年又8天
国投瑞银新活力定开混合A,001584,0.00亿元（2019-12-31）,1.29%,2.13%,2.76%,5.36%,15.27%,20.93%,李达夫,136天,2.51%,7年又214天
金鹰鑫瑞混合A,003502,1.65亿元（2019-12-31）,0.79%,1.82%,2.63%,4.67%,16.01%,17.26%,龙悦芳,303天,4.21%,2年又181天
华泰保兴健康消费C,006883,0.40亿元（2019-12-31）,5.47%,11.94%,11.92%,--,--,17.74%,赵旭照/孙静佳,278天,17.75%,2年又52天/285天
长安鑫益增强混合C,002147,77.13亿元（2019-12-31）,0.52%,1.56%,2.75%,6.95%,35.46%,21.79%,孟楠/杜振业,166天,2.59%,243天/1年又319天
长安鑫益增强混合A,002146,15.01亿元（2019-12-31）,0.56%,1.69%,3.04%,7.72%,37.71%,24.68%,孟楠/杜振业,166天,2.85%,243天/1年又319天
汇安丰恒灵活配置混合C,003846,0.00亿元（2019-12-31）,0.67%,1.74%,2.39%,8.18%,--,-1.44%,商震/张再奇,198天,2.44%,201天/1年又8天
鹏华弘康灵活配置混合A,003411,0.02亿元（2019-12-31）,0.45%,1.23%,2.02%,4.59%,28.02%,28.08%,叶朝明/张栓伟,1年又71天,5.97%,6年又9天/3年又196天
信诚永益一年定开混合A,004171,30.89亿元（2019-12-31）,0.86%,2.15%,3.20%,6.42%,19.80%,19.62%,何文忠,45天,1.29%,344天
中海添顺定期开放混合,004219,0.06亿元（2019-12-31）,0.26%,0.46%,0.47%,0.94%,--,9.07%,刘俊,315天,0.65%,10年又7天
信诚永益一年定开混合C,004172,0.00亿元（2019-12-31）,0.83%,2.05%,3.01%,5.99%,18.37%,18.15%,何文忠,45天,1.24%,344天
金鹰鑫瑞混合C,003503,2.47亿元（2019-12-31）,0.78%,1.79%,2.57%,4.55%,30.84%,32.23%,龙悦芳,303天,4.11%,2年又181天
招商丰茂灵活混合发起式C,005907,4.38亿元（2019-12-31）,0.62%,1.03%,1.13%,3.12%,--,9.20%,余芽芳/王景,352天,2.90%,2年又329天/8年又117天
鹏华弘泰A,206001,2.26亿元（2019-12-31）,0.51%,1.31%,1.94%,3.30%,8.68%,531.30%,叶朝明,197天,2.03%,6年又9天
鹏华弘泰C,001775,3.70亿元（2019-12-31）,0.50%,1.26%,1.85%,3.17%,10.56%,14.98%,叶朝明,197天,1.93%,6年又9天
国投瑞银新活力定开混合C,001585,4.75亿元（2019-12-31）,1.28%,2.10%,2.69%,5.23%,14.09%,19.34%,李达夫,136天,2.47%,7年又214天
长安裕腾混合C,005592,38.26亿元（2019-12-31）,0.52%,1.63%,2.88%,7.67%,--,0.47%,杜振业,191天,3.12%,1年又319天
