基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
华安全球美元收益债C,002393,0.93亿元（2019-12-31）,-0.34%,-0.77%,0.00%,8.56%,5.42%,16.70%,庄宇飞,2年又10天,11.67%,2年又357天
华安全球美元票息债人民币A,002426,2.24亿元（2019-12-31）,-0.17%,-0.51%,0.34%,9.22%,7.71%,17.30%,庄宇飞,2年又10天,13.66%,2年又357天
华安全球美元票息债C,002429,0.14亿元（2019-12-31）,-0.26%,-0.69%,0.09%,8.79%,6.08%,15.10%,庄宇飞,2年又10天,12.62%,2年又357天
华夏全球科技先锋混合,005698,1.12亿元（2019-12-31）,-2.46%,1.16%,4.78%,14.27%,--,14.98%,李湘杰,1年又325天,14.98%,5年又299天
浦银安盛全球智能科技(QDII),006555,0.23亿元（2019-12-31）,-6.87%,-1.29%,3.87%,12.15%,--,12.60%,IKEDA KAE,1年又38天,12.60%,2年又43天
国泰企业信用精选A人民币,004161,0.46亿元（2019-12-31）,-0.03%,-0.04%,1.63%,11.66%,--,16.29%,陈雷/吴向军,1年又53天,13.29%,2年又296天/6年又317天
长信全球债券人民币,004998,0.32亿元（2019-12-31）,-0.03%,0.48%,2.48%,10.67%,--,16.73%,傅瑶纯/杨帆,65天,0.91%,65天/2年又323天
国泰企业信用精选C人民币,004164,0.25亿元（2019-12-31）,-0.06%,-0.16%,1.44%,11.19%,--,15.01%,陈雷/吴向军,1年又53天,12.73%,2年又296天/6年又317天
南方香港优选股票,160125,4.24亿元（2019-12-31）,-0.57%,1.21%,3.52%,3.63%,31.27%,20.48%,毕凯,2年又119天,7.25%,2年又196天
汇添富美元债债券人民币A,004419,0.59亿元（2019-12-31）,-0.21%,-0.48%,0.93%,8.69%,--,11.90%,高欣/何旻,2年又322天,11.90%,2年又322天/11年又259天
泰达宏利亚洲债券(QDII)A,003463,0.54亿元（2019-12-31）,1.51%,2.05%,2.57%,15.51%,9.50%,11.65%,师婧,54天,2.94%,2年又73天
工银全球美元债A人民币,003385,1.03亿元（2019-12-31）,-0.02%,-0.49%,-0.25%,8.63%,8.44%,8.70%,陈涵,19天,-0.17%,261天
易方达亚洲精选股票,118001,4.83亿元（2019-12-31）,1.23%,11.30%,11.18%,13.65%,33.58%,7.40%,张坤,5年又335天,37.34%,7年又162天
汇添富香港混合(QDII),470888,2.14亿元（2019-12-31）,3.44%,8.34%,8.68%,12.15%,13.80%,19.64%,杨威风,1年又66天,25.84%,1年又66天
海富通全球收益债券人民币,501300,0.58亿元（2019-12-31）,-0.18%,-0.32%,0.88%,9.28%,8.02%,8.33%,陆丛凡,128天,-0.08%,248天
工银全球美元债C,003387,0.19亿元（2019-12-31）,-0.06%,-0.59%,-0.46%,8.27%,7.67%,7.87%,陈涵,19天,-0.19%,261天
华夏大中华信用债A,002877,1.22亿元（2019-12-31）,0.28%,1.29%,2.87%,9.72%,15.53%,13.46%,邓思聪,1年又43天,10.69%,1年又53天
汇添富美元债债券美元现汇C,004422,0.06亿元（2019-12-31）,0.36%,1.00%,2.81%,4.47%,--,9.43%,高欣/何旻,2年又322天,9.43%,2年又322天/11年又259天
汇添富美元债债券美元现汇A,004421,0.16亿元（2019-12-31）,0.38%,1.11%,2.91%,4.83%,--,10.72%,高欣/何旻,2年又322天,10.72%,2年又322天/11年又259天
华安全球稳健配置(QDII-FOF)A,005440,0.18亿元（2019-12-31）,0.37%,0.68%,-1.03%,8.44%,--,5.84%,庄宇飞,1年又252天,5.84%,2年又357天
国富美元债定开债人民币,003972,1.89亿元（2020-02-21）,1.32%,0.50%,1.32%,9.57%,9.44%,9.63%,徐成,3年又42天,9.63%,4年又75天
华夏大中华信用债C,002880,0.18亿元（2019-12-31）,0.28%,1.15%,2.69%,9.29%,13.87%,11.47%,邓思聪,1年又43天,10.15%,1年又53天
汇添富美元债债券人民币C,004420,0.30亿元（2019-12-31）,-0.24%,-0.58%,0.74%,8.33%,--,11.12%,高欣/何旻,2年又322天,11.12%,2年又322天/11年又259天
泰达宏利亚洲债券(QDII)C,003464,0.12亿元（2019-12-31）,1.48%,1.93%,2.44%,15.17%,8.28%,10.23%,师婧,54天,2.86%,2年又73天
广发全球收益(QDII)人民币A,005912,0.26亿元（2019-12-31）,-1.72%,-1.44%,1.76%,2.15%,--,5.46%,孙敏,1年又183天,5.46%,2年又119天
华安全球稳健配置(QDII-FOF)C,005441,0.02亿元（2019-12-31）,0.34%,0.59%,-1.23%,8.02%,--,4.82%,庄宇飞,1年又252天,4.82%,2年又357天
南方全球精选配置,202801,37.49亿元（2019-12-31）,-2.22%,3.29%,4.72%,12.12%,31.38%,6.29%,黄亮,1年又91天,21.47%,10年又256天
广发全球收益(QDII)人民币C,005913,0.07亿元（2019-12-31）,-1.76%,-1.54%,1.41%,1.59%,--,4.66%,孙敏,1年又183天,4.66%,2年又119天
上投欧洲动力(QDII),006282,0.40亿元（2019-12-31）,-8.90%,-5.83%,-1.21%,2.39%,--,4.56%,张军,1年又128天,4.56%,12年又2天
国泰全球绝对收益人民币,001936,0.07亿元（2019-12-31）,-1.32%,0.00%,-0.47%,7.14%,3.55%,5.00%,吴向军,4年又96天,5.00%,6年又317天
工银新经济人民币,005699,1.56亿元（2019-12-31）,2.34%,7.47%,10.84%,16.11%,--,7.30%,孙裕文/郝康,108天,7.09%,108天/8年又323天
易方达中短期美元债(QDII)A人民币,007360,4.64亿元（2019-12-31）,0.17%,0.15%,1.01%,--,--,4.80%,周怡/祁广东,276天,4.80%,276天/276天
易方达中短期美元债(QDII)C人民币,007361,2.54亿元（2019-12-31）,0.15%,0.09%,0.88%,--,--,4.61%,周怡/祁广东,276天,4.61%,276天/276天
诺安全球黄金,320013,4.77亿元（2019-12-31）,5.95%,10.14%,6.17%,30.63%,28.20%,11.68%,宋青,7年又232天,4.13%,8年又116天
鹏华全球中短债(QDII)人民币A,206006,0.36亿元（2019-12-31）,0.98%,4.64%,5.62%,9.72%,1.30%,1.71%,尤柏年,4年又174天,6.39%,7年又287天
华夏全球股票(QDII),000041,38.92亿元（2019-12-31）,-5.28%,0.20%,-0.97%,5.25%,20.92%,2.30%,李湘杰,3年又226天,34.43%,5年又299天
银华美元债精选(QDII)C,007205,0.02亿元（2019-12-31）,0.46%,1.68%,4.67%,--,--,4.30%,吴双,285天,4.30%,285天
鹏华全球中短债(QDII)人民币C,008320,0.36亿元（2019-12-31）,0.95%,--,--,--,--,1.24%,尤柏年,59天,1.24%,7年又287天
华夏全球聚享A人民币,006445,0.84亿元（2019-12-31）,-4.99%,-2.27%,-0.84%,4.44%,--,4.49%,郑鹏,1年又24天,4.49%,1年又24天
南方全球债券(QDII)人民币C,007629,0.96亿元（2019-12-31）,-0.32%,0.40%,0.66%,--,--,1.03%,苏炫纲,199天,1.03%,4年又5天
银华美元债精选(QDII)A,007204,3.33亿元（2019-12-31）,0.49%,1.75%,4.81%,--,--,4.54%,吴双,285天,4.54%,285天
华宝致远混合(QDII)A,008253,1.00亿元（2019-11-27）,3.02%,0.88%,--,--,--,0.86%,周晶,101天,0.86%,6年又264天
泰达宏利印度(QDII),006105,0.14亿元（2019-12-31）,-6.87%,-4.70%,4.28%,2.88%,--,2.98%,师婧,1年又37天,2.98%,2年又73天
华夏全球聚享C人民币,006448,0.02亿元（2019-12-31）,-5.02%,-2.37%,-1.05%,4.04%,--,4.07%,郑鹏,1年又24天,4.07%,1年又24天
华宝致远混合(QDII)C,008254,1.09亿元（2019-11-27）,2.97%,0.79%,--,--,--,0.76%,周晶,101天,0.76%,6年又264天
上投摩根全球新兴市场混合,378006,0.63亿元（2019-12-31）,-4.65%,-0.85%,2.85%,7.07%,19.29%,4.50%,张淑婉,3年又82天,28.85%,3年又82天
华泰柏瑞亚洲领导企业混合,460010,0.10亿元（2019-12-31）,-0.49%,10.62%,10.14%,12.57%,23.91%,2.10%,何琦,54天,0.00%,2年又241天
天弘标普500(QDII-FOF)A,007721,0.11亿元（2019-12-31）,-8.60%,-3.77%,--,--,--,0.02%,胡超,165天,0.02%,165天
南方全球债券(QDII)人民币A,007628,3.65亿元（2019-12-31）,-0.29%,0.51%,0.87%,--,--,1.26%,苏炫纲,199天,1.26%,4年又5天
天弘标普500(QDII-FOF)C,007722,0.13亿元（2019-12-31）,-8.62%,-3.84%,--,--,--,-0.09%,胡超,165天,-0.09%,165天
广发海外多元配置人民币,005557,0.96亿元（2019-12-31）,-0.14%,3.40%,5.05%,8.55%,--,-2.62%,李耀柱,2年又28天,-2.62%,4年又82天
国泰全球绝对收益美元现汇,001935,0.43亿元（2019-12-31）,-0.72%,1.58%,1.58%,3.42%,2.76%,-3.30%,吴向军,4年又96天,-3.30%,6年又317天
招商普盛全球配置(QDII-FOF)人民币,007729,2.10亿元（2020-01-19）,0.05%,--,--,--,--,0.06%,白海峰,48天,0.06%,3年又299天
嘉实原油(QDII-LOF),160723,0.81亿元（2019-12-31）,-8.67%,-18.26%,-14.58%,-12.71%,--,-2.71%,刘志刚/蒋一茜,2年又295天,-2.89%,2年又295天/4年又136天
天弘越南市场股票(QDII)C,008764,0.84亿元（2020-01-20）,-4.25%,--,--,--,--,-4.30%,胡超,47天,-4.30%,165天
鹏华港美互联股票人民币,160644,0.99亿元（2019-12-31）,-0.03%,12.16%,16.82%,15.14%,--,-0.01%,顾柔刚/尤柏年,322天,12.23%,322天/7年又287天
上投摩根日本精选股票(QDII),007280,1.43亿元（2019-12-31）,-12.09%,-11.66%,-6.37%,--,--,-6.37%,张军,220天,-6.37%,12年又2天
鹏华美国房地产(QDII),206011,0.68亿元（2019-12-31）,-12.73%,-13.16%,-6.51%,0.81%,-8.76%,34.26%,朱庆恒,4年又174天,21.61%,5年又163天
国泰全球绝对收益美元现钞,001934,0.43亿元（2019-12-31）,-0.72%,1.58%,1.58%,3.42%,2.76%,-3.30%,吴向军,4年又96天,-3.30%,6年又317天
天弘越南市场股票(QDII)A,008763,1.16亿元（2020-01-20）,-4.22%,--,--,--,--,-4.27%,胡超,47天,-4.27%,165天
南方原油A,501018,3.38亿元（2019-12-31）,-9.15%,-18.69%,-15.54%,-12.39%,-8.79%,-7.30%,黄亮,3年又266天,-7.30%,10年又256天
工银印度基金人民币,164824,1.55亿元（2019-12-31）,-11.90%,-11.79%,-5.23%,-5.64%,--,-12.35%,刘伟琳,1年又266天,-12.35%,5年又143天
易方达黄金主题人民币A,161116,3.66亿元（2019-12-31）,6.14%,10.85%,6.14%,28.98%,23.15%,-10.10%,周宇,2年又261天,24.17%,2年又321天
南方原油C,006476,0.47亿元（2019-12-31）,-9.18%,-18.27%,-15.15%,-12.21%,--,-34.00%,黄亮,1年又151天,-34.00%,10年又256天
嘉实海外中国股票混合,070012,45.36亿元（2019-12-31）,1.80%,5.34%,6.08%,5.83%,26.85%,-9.30%,陈叶雁南/蒋一茜,197天,9.15%,1年又16天/4年又136天
嘉实黄金,160719,1.51亿元（2019-12-31）,5.71%,9.81%,5.83%,29.57%,27.03%,-9.30%,高峰/陈正宪,161天,9.28%,340天/4年又63天
易方达黄金主题人民币C,007976,0.00亿元（2019-12-31）,6.38%,10.96%,--,--,--,11.79%,周宇,148天,11.79%,2年又321天
建信新兴市场混合(QDII),539002,0.39亿元（2019-12-31）,-2.01%,1.54%,3.82%,1.43%,10.66%,-7.60%,程星烨/李博涵,87天,0.22%,87天/6年又216天
易方达原油A类人民币,161129,0.94亿元（2019-12-31）,-8.43%,-18.99%,-15.95%,-13.34%,-6.32%,-7.77%,成曦/范冰/张胜记,1年又209天,-26.38%,3年又305天/2年又348天/9年又346天
信诚四国配置,165510,0.09亿元（2019-12-31）,-6.45%,-3.85%,-1.49%,-2.68%,-1.09%,-27.50%,顾凡丁,316天,-2.82%,324天
上投摩根亚太优势混合,377016,45.97亿元（2019-12-31）,-2.14%,1.48%,5.78%,9.87%,27.36%,-17.60%,张淑婉/张军,3年又82天,35.08%,3年又82天/12年又2天
汇添富黄金及贵金属,164701,1.48亿元（2019-12-31）,5.87%,10.24%,6.16%,29.82%,26.02%,-22.50%,赖中立,7年又128天,-16.31%,7年又128天
诺安油气能源,163208,0.82亿元（2019-12-31）,-16.74%,-20.58%,-21.61%,-27.90%,-35.20%,-39.80%,宋青,7年又105天,-36.36%,8年又116天
上投摩根全球天然资源混合,378546,0.86亿元（2019-12-31）,-10.62%,-9.99%,-10.75%,-9.47%,-7.07%,-36.90%,张军,7年又348天,-36.90%,12年又2天
易方达原油C类人民币,003321,1.25亿元（2019-12-31）,-8.45%,-19.88%,-16.95%,-14.57%,-8.44%,-9.91%,成曦/范冰/张胜记,1年又209天,-27.58%,3年又305天/2年又348天/9年又346天
融通核心价值混合,161620,0.51亿元（2019-12-31）,1.71%,1.74%,-1.20%,-3.08%,-14.61%,-29.30%,张婷/何博,1年又55天,-1.04%,1年又100天/2年又62天
国泰大宗商品,160216,2.74亿元（2019-12-31）,-10.59%,-21.49%,-19.15%,-17.21%,-14.61%,-62.00%,吴向军,4年又70天,-9.74%,6年又317天
博时抗通胀增强回报,050020,0.58亿元（2019-12-31）,-3.50%,-9.19%,-7.42%,2.14%,-2.06%,-47.60%,刘思甸,3年又79天,0.00%,3年又322天
广发全球精选股票美元现汇,000906,6.49亿元（2019-12-31）,4.93%,16.14%,20.77%,16.98%,30.86%,36.22%,余昊,3年又88天,41.09%,3年又274天
信诚全球商品主题,165513,0.23亿元（2019-12-31）,-6.60%,-13.66%,-11.50%,-10.61%,-24.36%,-64.60%,顾凡丁,316天,-14.70%,324天
银华抗通胀主题,161815,0.51亿元（2019-12-31）,-1.95%,-7.36%,-7.74%,-1.95%,-3.62%,-54.70%,李宜璇/马君,2年又73天,-2.79%,2年又73天/7年又186天
中银全球策略,163813,0.46亿元（2019-12-31）,-6.96%,-2.65%,-2.33%,1.38%,0.34%,-41.20%,陈学林,6年又234天,-27.32%,6年又355天
华夏移动互联混合美元现汇,002892,1.23亿元（2019-12-31）,11.70%,26.90%,34.64%,36.86%,65.25%,62.46%,刘平,2年又171天,33.96%,4年又99天
国富大中华精选混合美元,006370,5.59亿元（2019-12-31）,7.11%,19.57%,23.98%,--,--,19.62%,徐成,327天,19.62%,4年又75天
华夏移动互联混合美元现钞,002893,1.23亿元（2019-12-31）,11.70%,26.90%,34.64%,36.86%,65.25%,62.46%,刘平,2年又171天,33.96%,4年又99天
博时亚洲票息收益债券现钞,050203,26.58亿元（2019-12-31）,0.85%,2.26%,4.22%,5.94%,13.77%,52.16%,何凯,5年又341天,40.14%,5年又341天
博时亚洲票息收益债券现汇,050202,26.58亿元（2019-12-31）,0.85%,2.26%,4.22%,5.94%,13.77%,52.16%,何凯,5年又341天,40.14%,5年又341天
工银香港中小盘美元,002380,0.84亿元（2019-12-31）,4.15%,10.61%,14.51%,11.17%,15.38%,29.31%,赵宪成,75天,6.05%,1年又73天
广发亚太中高收益债券现汇,000275,0.97亿元（2019-12-31）,0.87%,2.82%,6.26%,2.98%,9.33%,28.53%,孙敏,2年又119天,6.21%,2年又119天
华夏海外收益债券现汇,001065,16.08亿元（2019-12-31）,0.10%,2.98%,4.73%,6.86%,15.25%,46.62%,邓思聪,1年又43天,9.34%,1年又53天
上投摩根全球多元配置美元现钞,003630,5.64亿元（2019-12-31）,-4.76%,-0.55%,1.69%,5.88%,19.21%,24.14%,张军,3年又79天,24.14%,12年又2天
上投摩根全球多元配置美元现汇,003631,5.64亿元（2019-12-31）,-4.76%,-0.55%,1.69%,5.88%,19.21%,24.14%,张军,3年又79天,24.14%,12年又2天
华安全球美元收益债美元现汇A,002392,5.37亿元（2019-12-31）,0.23%,0.88%,2.21%,5.10%,5.95%,11.26%,庄宇飞,2年又10天,2.83%,2年又357天
南方亚洲美元债美元现汇C,002403,3.67亿元（2019-12-31）,0.24%,1.56%,3.01%,4.76%,7.44%,12.78%,苏炫纲,4年又5天,12.78%,4年又5天
中银美元债债券美元,002287,2.99亿元（2019-12-31）,0.58%,1.23%,2.30%,4.90%,8.65%,12.46%,郑涛,2年又337天,8.18%,3年又274天
南方亚洲美元债美元现汇A,002402,14.83亿元（2019-12-31）,0.29%,1.76%,3.32%,5.29%,9.15%,15.07%,苏炫纲,4年又5天,15.07%,4年又5天
博时大中华亚太精选美元现汇,000927,1.81亿元（2019-12-31）,-0.11%,2.04%,5.67%,2.46%,4.60%,-6.96%,杨涛,2年又99天,-11.74%,2年又99天
鹏华全球高收益债美元现汇,001876,24.79亿元（2019-12-31）,0.17%,2.81%,4.92%,6.31%,9.77%,25.89%,尤柏年,4年又172天,25.89%,7年又287天
华安全球美元票息债美元现汇A,002427,2.24亿元（2019-12-31）,0.42%,1.08%,2.42%,5.43%,6.89%,11.18%,庄宇飞,2年又10天,3.81%,2年又357天
华夏大中华信用债美元现汇A,002878,1.22亿元（2019-12-31）,0.92%,2.92%,5.08%,6.00%,14.78%,9.12%,邓思聪,1年又43天,8.18%,1年又53天
海富通全球收益债券美元,003606,0.58亿元（2019-12-31）,0.45%,1.30%,2.96%,5.53%,7.27%,7.79%,陆丛凡,128天,1.56%,248天
工银全球美元债A美元现汇,003386,1.03亿元（2019-12-31）,0.58%,1.10%,1.82%,4.89%,7.63%,7.26%,陈涵,19天,0.45%,261天
国富美元债定开债美元现汇,003973,1.89亿元（2020-02-21）,0.55%,1.79%,3.45%,5.74%,8.65%,8.35%,徐成,3年又42天,8.35%,4年又75天
